OID_,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape_Length,Shape_Area
1,C50031,2023041501.000000000000000,2023,Person,2023-C50031,15.199999999999999,2023 ROLLOVER,20230415,20231024,20230414,Hand sketch of any type,JA70003000,0.000000000000000,2703252.000000000000000,152382.735500000009779,1882.327399999999898,1882.327411302742348,152382.735516058077337
2,C50039,2023041501.000000000000000,2023,Person,2023-C50039,18.199999999999999,2023 ROLLOVER,20230415,20230418,20230415,Non-corrected ground GPS,JA70003000,0.000000000000000,2703253.000000000000000,181570.827799999999115,3158.052599999999984,3158.052590146248349,181570.827825023297919
3,C50072,2023042101.000000000000000,2023,Person,2023-C50072,47.600000000000001,2023 ROLLOVER,20230421,20230424,20230421,Non-corrected ground GPS,JA70003000,0.000000000000000,2703254.000000000000000,476351.640100000018720,6024.628200000000106,6024.628181058244991,476351.640095297771040
4,C50094,2023042601.000000000000000,2023,Person,2023-C50094,4.800000000000000,2023 ROLLOVER,20230426,20230501,20230406,Non-corrected ground GPS,JA70003000,0.000000000000000,2703255.000000000000000,47635.334499999997206,1580.569199999999910,1580.569160204802301,47635.334480118501233
5,C50100,2023043001.000000000000000,2023,Person,2023-C50100,206.099999999999994,2023 ROLLOVER,20230430,20230501,20230427,Unknown,JA70003000,0.000000000000000,2703256.000000000000000,2060823.250500000081956,9278.217399999999543,9278.217367887631553,2060823.250481606926769
6,C50101,2023043001.000000000000000,2023,Person,2023-C50101,1.500000000000000,2023 ROLLOVER,20230430,20231013,20230427,Hand sketch of any type,JA70003000,0.000000000000000,2703257.000000000000000,14963.475800000000163,652.906700000000001,652.906730833676988,14963.475812022948958
7,C50129,2023042901.000000000000000,2023,Person,2023-C50129,10.100000000000000,2023 ROLLOVER,20230429,20230501,20230429,Non-corrected ground GPS,JA70003000,0.000000000000000,2703258.000000000000000,100596.233999999996740,2646.558599999999842,2646.558576037871262,100596.234027581813280
8,C51562,2023082501.000000000000000,2023,Lightning,2023-C51562,6652.000000000000000,2023 ROLLOVER,20230825,20230825,20230707,Non-corrected ground GPS,JA70003000,0.000000000000000,2703264.000000000000000,66519840.995200000703335,59851.616300000001502,61572.685324803671392,63565103.856670886278152
9,C51919,2023072101.000000000000000,2023,Lightning,2023-C51919,26.500000000000000,2023 ROLLOVER,20230721,20230722,20230709,Non-corrected ground GPS,JA70003000,0.000000000000000,2703267.000000000000000,265228.191600000020117,2651.538199999999961,2651.538197208652036,265228.191624016559217
10,C51944,2023072101.000000000000000,2023,Lightning,2023-C51944,1.800000000000000,2023 ROLLOVER,20230721,20231010,20230718,Non-corrected ground GPS,JA70003000,0.000000000000000,2703268.000000000000000,18200.327099999998609,576.466300000000047,576.466257453896901,18200.327127469252446
11,C51974,2023072501.000000000000000,2023,Lightning,2023-C51974,1306.400000000000091,2023 ROLLOVER,20230725,20230725,20230720,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703269.000000000000000,13063578.548900000751019,19876.177700000000186,19876.177696747683513,13063578.548872044309974
12,C51976,2023070401.000000000000000,2023,Lightning,2023-C51976,10.500000000000000,2023 ROLLOVER,20230704,20231023,20230720,Non-corrected ground GPS,JA70003000,0.000000000000000,2703270.000000000000000,105003.169299999994109,2013.076199999999972,2013.076195239704703,105003.169312418598565
13,C51981,2023072902.000000000000000,2023,Lightning,2023-C51981,1406.500000000000000,2023 ROLLOVER,20230729,20230804,20230720,Non-corrected ground GPS,JA70003000,0.000000000000000,2703271.000000000000000,14065254.972400000318885,29553.004700000001321,29553.004664841901104,14065254.972412850707769
14,C10431,2023052401.000000000000000,2023,Lightning,2023-C10431,75.000000000000000,2023 ROLLOVER,20230524,20230607,20230520,Non-corrected ground GPS,JA70003000,0.000000000000000,2703192.000000000000000,749536.821499999961816,7975.979099999999562,7975.979140689834821,749536.821485119871795
