OID_,FIRE_NO,VERSION_NO,FIRE_YEAR,SIZE_HA,SOURCE,FIRE_DATE,LOAD_DATE,FIRE_STAT,FIRE_URL,FCODE,AREA_SQM,FEAT_LEN,SHAPE_1,OBJECTID,Shape_Length,Shape_Area
1,C20135,2024042401,2024,2.1,Non-corrected ground GPS,20240424,2.02404E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C20135,JA70003000,21120.3098,1211.7729,0,6397111,1211.772932,21120.30984
2,C50087,2024051801,2024,23.2,Non-corrected ground GPS,20240518,2.02406E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C50087,JA70003000,231852.2982,4517.5021,0,6397115,4517.502109,231852.2982
3,C50115,2024042001,2024,5,Non-corrected ground GPS,20240420,2.02404E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C50115,JA70003000,49814.2646,1140.4982,0,6397116,1140.498172,49814.26458
4,C50214,2024050401,2024,133.8,Non-corrected airborne GPS,20240504,2.02405E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C50214,JA70003000,1337696.987,7021.2485,0,6397117,7021.248461,1337696.987
5,C10110,2024042102,2024,2.6,Non-corrected ground GPS,20240421,2.02406E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C10110,JA70003000,25513.2838,1205.3571,0,6397107,1205.357072,25513.28378
6,C20101,2024061401,2024,1.9,Non-corrected ground GPS,20240614,2.02406E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C20101,JA70003000,18524.5592,794.4581,0,6397108,794.45807,18524.55923
7,C20117,2024042401,2024,1849.1,Non-corrected airborne GPS,20240424,2.02404E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C20117,JA70003000,18491306.55,26426.6324,0,6397109,26426.6324,18491306.55
8,C20118,2024042101,2024,3.7,Non-corrected ground GPS,20240421,2.02406E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C20118,JA70003000,37394.5677,937.8761,0,6397110,937.8760753,37394.5677
9,C40013,2024040201,2024,2.6,Non-corrected ground GPS,20240402,2.02404E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C40013,JA70003000,25615.1352,972.4919,0,6397112,972.4918718,25615.13521
10,C40496,2024061501,2024,9,Non-corrected ground GPS,20240615,2.02406E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C40496,JA70003000,90458.1275,2186.7237,0,6397113,2186.723688,90458.12751
11,K20114,2024042101,2024,6.2,Non-corrected ground GPS,20240421,2.02404E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=K20114,JA70003000,62466.2896,1504.5664,0,6397234,1504.566414,62466.28962
12,K60269,2024051201,2024,14.3,Non-corrected ground GPS,20240512,2.02405E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=K60269,JA70003000,143400.6576,2762.564,0,6397235,2762.563965,143400.6576
13,K60395,2024052501,2024,51.7,Non-corrected airborne GPS,20240525,2.02405E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=K60395,JA70003000,517317.0494,3500.6873,0,6397236,3500.687288,517317.0494
14,K70107,2024042201,2024,33,Non-corrected ground GPS,20240422,2.02404E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=K70107,JA70003000,330127.326,4204.3705,0,6397237,4204.370546,330127.326
15,K70302,2024051801,2024,222.3,Non-corrected airborne GPS,20240518,2.02405E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=K70302,JA70003000,2222911.125,7830.7464,0,6397238,7830.746372,2222911.125
16,G30263,2024051402,2024,173.7,Digitized other,20240514,2.02405E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=G30263,JA70003000,1736564.073,10029.5884,0,6397123,10029.58844,1736564.073
17,C10084,2024042001,2024,2.3,Non-corrected ground GPS,20240420,2.02405E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=C10084,JA70003000,23184.9357,830.9592,0,6397106,830.9592105,23184.93565
18,G10134,2024050301,2024,2.8,Non-corrected ground GPS,20240503,2.02405E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=G10134,JA70003000,27878.6485,977.4867,0,6397122,977.4866616,27878.64846
19,G40116,2024042101,2024,34.4,Non-corrected airborne GPS,20240421,2.02404E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=G40116,JA70003000,343859.1711,4176.2729,0,6397125,4176.272875,343859.1711
20,G40119,2024042101,2024,31.5,Non-corrected airborne GPS,20240421,2.02405E+13,Out,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2024&incidentNumber=G40119,JA70003000,315268.9947,5118.3764,0,6397126,5118.376428,315268.9947
21,G41158,2023091501,2023,21926.5,Non-corrected airborne GPS,20230915,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41158,JA70003000,219265444.7,101474.9755,0,6397127,96874.83817,149471571
22,G41307,2023091702,2023,44642.7,Digitized other,20230917,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41307,JA70003000,446426582.8,253546.4214,0,6397128,253546.4214,446426582.8
23,G41466,2023090801,2023,261.8,Processed IR image,20230908,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41466,JA70003000,2618303.019,11860.8396,0,6397129,11860.83956,2618303.019
24,G41493,2023090801,2023,4878.6,Processed IR image,20230908,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41493,JA70003000,48786218.85,49552.2696,0,6397130,49552.26956,48786218.85
25,G41502,2023092302,2023,34826.2,Digitized other,20230923,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41502,JA70003000,348261629.9,133470.3109,0,6397131,133470.3109,348261629.9
26,G41509,2023072401,2023,104.4,Derived from satellite imagery,20230724,2.02307E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41509,JA70003000,1044057.035,4171.1137,0,6397132,4171.113657,1044057.035
27,G41511,2023092101,2023,4767.8,Non-corrected ground GPS,20230921,2.02309E+13,Under Control,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41511,JA70003000,47678020.91,41690.4845,0,6397133,41690.48451,47678020.91
